28,	0,	0,	28,	46,	28,	0,	28,	0,	59,	0,	0,	28,	0,	0,	28,	50,	0,	0,	28,	0,	0,	0,	22,	0,	0,	0,	0

0,	0,	0,	0,	0,	0,	0,	13,	38,	0,	61,	0,	71,	0,	0,	34,	0,	22,	50,	28,	0,	34,	50,	0,	0,	0,	0,	0

0,	0,	22,	0,	0,	0,	13,	22,	13,	61,	0,	50,	0,	0,	42,	0,	59,	0,	0,	42,	46,	22,	0,	0,	0,	0,	0,	0

0,	13,	28,	0,	0,	22,	28,	0,	0,	0,	61,	0,	0,	85,	0,	0,	0,	0,	59,	28,	0,	0,	34,	0,	0,	0,	0,	0

0,	13,	13,	0,	0,	22,	0,	0,	42,	0,	88,	92,	193,	192,	223,	159,	155,	88,	0,	0,	28,	13,	0,	0,	0,	0,	0,	0

34,	0,	0,	0,	0,	0,	0,	0,	28,	159,	251,	246,	255,	252,	253,	242,	248,	193,	106,	13,	0,	22,	22,	0,	0,	0,	0,	0

22,	0,	0,	28,	0,	0,	34,	92,	226,	253,	254,	255,	255,	255,	255,	248,	255,	255,	236,	159,	0,	0,	66,	13,	0,	0,	0,	0

0,	0,	0,	42,	0,	0,	75,	129,	251,	255,	254,	250,	253,	255,	251,	255,	255,	255,	255,	244,	182,	46,	0,	38,	0,	0,	0,	0

34,	0,	0,	61,	64,	0,	138,	224,	251,	255,	255,	253,	255,	175,	159,	229,	255,	251,	253,	255,	246,	162,	0,	0,	0,	0,	0,	0

0,	56,	13,	0,	0,	75,	209,	252,	255,	246,	237,	202,	188,	117,	42,	50,	83,	235,	255,	255,	254,	214,	0,	69,	0,	0,	0,	0

0,	13,	34,	38,	0,	0,	222,	255,	255,	163,	130,	46,	13,	0,	42,	0,	0,	195,	249,	255,	255,	238,	135,	0,	0,	0,	0,	0

38,	22,	0,	0,	59,	129,	254,	246,	254,	79,	38,	22,	38,	13,	0,	13,	22,	0,	166,	252,	252,	252,	211,	50,	0,	0,	0,	0

0,	0,	22,	0,	0,	143,	255,	255,	251,	88,	56,	0,	0,	13,	0,	34,	56,	0,	56,	255,	251,	253,	205,	0,	0,	0,	0,	0

22,	0,	46,	61,	0,	158,	242,	255,	221,	0,	28,	0,	56,	38,	0,	0,	0,	53,	0,	220,	253,	255,	240,	69,	0,	0,	0,	0

0,	38,	13,	0,	77,	244,	255,	250,	255,	104,	22,	0,	0,	0,	0,	53,	50,	0,	0,	143,	251,	249,	255,	66,	0,	0,	0,	0

0,	34,	28,	0,	77,	253,	248,	255,	251,	96,	13,	0,	34,	34,	66,	0,	0,	22,	0,	119,	255,	255,	251,	81,	0,	0,	0,	0

42,	0,	22,	22,	0,	215,	251,	254,	253,	93,	56,	0,	0,	50,	0,	0,	0,	50,	0,	140,	252,	255,	255,	61,	0,	0,	0,	0

0,	0,	42,	28,	0,	159,	255,	253,	255,	223,	81,	0,	69,	0,	50,	22,	71,	0,	104,	229,	251,	253,	192,	34,	0,	0,	0,	0

0,	28,	28,	13,	0,	59,	235,	251,	252,	255,	223,	148,	0,	0,	34,	0,	22,	0,	213,	255,	255,	251,	119,	0,	0,	0,	0,	0

0,	42,	0,	0,	22,	0,	132,	232,	255,	248,	255,	220,	112,	129,	93,	101,	113,	248,	251,	253,	247,	206,	0,	13,	0,	0,	0,	0

22,	13,	0,	0,	22,	56,	0,	171,	248,	255,	248,	255,	254,	251,	247,	255,	255,	253,	255,	248,	255,	168,	0,	13,	0,	0,	0,	0

13,	0,	28,	0,	0,	46,	0,	34,	178,	255,	255,	255,	255,	251,	252,	254,	253,	255,	247,	253,	159,	0,	0,	13,	0,	0,	0,	0

0,	0,	53,	0,	0,	13,	64,	0,	66,	212,	255,	251,	254,	255,	255,	255,	249,	255,	250,	134,	0,	77,	0,	13,	0,	0,	0,	0

22,	13,	46,	0,	0,	34,	0,	66,	0,	92,	134,	197,	255,	255,	254,	255,	201,	81,	42,	71,	0,	0,	46,	0,	0,	0,	0,	0

0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0

0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0

0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0

0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0

